phase,mrr,ap,hits@k,recall@k,ndcg@k,gCal_max,gTE_gap,gMin,gRisk,tau_avg,tau_min,tau_bands,delta_drift,delta_eff,utility_preservation
pre,0.1630515684143281,0.1630515684143281,0.174,0.0,0.15597840722899942,0.331658273935318,0.0046054648629052924,0.00046054648629052927,0.0,0.0023027324314526462,0.00046054648629052927,"{""0"": {""ci_high"": 0.010633409824880804, ""ci_low"": -0.0014224800990702193, ""n_eff"": 52862, ""tau"": 0.0046054648629052924}, ""1"": {""ci_high"": 0.006349929035608864, ""ci_low"": -0.006349929035608864, ""n_eff"": 47637, ""tau"": 0.0}}",,,
deploy,0.24445486632406654,0.24445486632406654,0.278,0.0,0.2443794716055982,0.5001679162815474,0.017922296564256663,0.00046054648629052927,0.0,0.008961148282128331,0.00046054648629052927,"{""0"": {""ci_high"": 0.005982564838175068, ""ci_low"": -0.005982564838175068, ""n_eff"": 53667, ""tau"": 0.0}, ""1"": {""ci_high"": 0.024326499484601, ""ci_low"": 0.011518093643912326, ""n_eff"": 46833, ""tau"": 0.017922296564256663}}",,,
post,0.16794885287301436,0.16794885287301436,0.213,0.0,0.1707718846798667,0.6908223180729676,0.2147358111235579,0.00046054648629052927,0.0,0.10736790556177896,0.00046054648629052927,"{""0"": {""ci_high"": 0.21921632906479288, ""ci_low"": 0.21025529318232294, ""n_eff"": 95681, ""tau"": 0.2147358111235579}, ""1"": {""ci_high"": 0.004291008411753039, ""ci_low"": -0.004291008411753039, ""n_eff"": 104319, ""tau"": 0.0}}",,,
summary,,,,,,,,,,,,,0.3591640441376496,0.10506517313032632,1.0300351876790406
