phase,mrr,ap,hits@k,recall@k,ndcg@k,gCal_max,gTE_gap,gMin,gRisk,tau_avg,tau_min,tau_bands,delta_drift,delta_eff,utility_preservation
pre,0.1630515684143281,0.1630515684143281,0.174,0.0,0.15597840722899942,0.02,0.02263447713282011,0.0022634477132820116,0.0,0.014798017534348111,0.005744226681220068,"{""0"": {""ci_high"": 0.0952391264549008, ""ci_low"": -0.04300861425338447, ""n_eff"": 402, ""tau"": 0.026115256100758166}, ""1"": {""ci_high"": 0.05235873643721206, ""ci_low"": -0.045397178501335955, ""n_eff"": 804, ""tau"": 0.0034807789679380564}}",,,
deploy,0.24345414096436985,0.24345414096436985,0.276,0.0,0.24311761209845528,0.019999999999999997,0.0,0.0,0.0,0.006314403588763199,0.005744226681220068,"{""0"": {""ci_high"": 1.3859292911256331, ""ci_low"": -1.3859292911256331, ""n_eff"": 1, ""tau"": 0.0}, ""1"": {""ci_high"": 0.10407031852731122, ""ci_low"": -0.09144151134978482, ""n_eff"": 201, ""tau"": 0.006314403588763199}}",,,
post,0.16746963733097175,0.16746963733097175,0.213,0.0,0.17037851876329654,0.020287312711114343,0.23113616060224304,0.0025833916870397966,0.0,0.11872891529530179,0.005744226681220068,"{""0"": {""ci_high"": 0.2831749530656973, ""ci_low"": 0.1854190381271493, ""n_eff"": 804, ""tau"": 0.2342969955964233}, ""1"": {""ci_high"": 0.059600238798829135, ""ci_low"": -0.053278568810468586, ""n_eff"": 603, ""tau"": 0.0031608349941802715}}",,,
summary,,,,,,,,,,,,,0.20850168346942294,0.10393089776095368,1.0270961448553315
