phase,mrr,ap,hits@k,recall@k,ndcg@k,gCal_max,gTE_gap,gMin,gRisk,tau_avg,tau_min,tau_bands,delta_drift,delta_eff,utility_preservation
pre,0.1630515684143281,0.1630515684143281,0.174,0.0,0.15597840722899942,0.02,0.023470929938955047,0.002347092993895505,0.0,0.01534346067975707,0.00595508870417505,"{""0"": {""ci_high"": 0.09620279600337722, ""ci_low"": -0.04204494470490804, ""n_eff"": 402, ""tau"": 0.027078925649234593}, ""1"": {""ci_high"": 0.052485953179553554, ""ci_low"": -0.04526996175899446, ""n_eff"": 804, ""tau"": 0.003607995710279545}}",,,
deploy,0.24842920325133627,0.24842920325133627,0.282,0.0,0.24837947160559817,0.019999999999999997,0.0,0.00595508870417505,0.0,0.0,0.00595508870417505,"{""0"": {""ci_high"": 1.3859292911256331, ""ci_low"": -1.3859292911256331, ""n_eff"": 1, ""tau"": 0.0}, ""1"": {""ci_high"": 0.09775591493854802, ""ci_low"": -0.09775591493854802, ""n_eff"": 201, ""tau"": 0.0}}",,,
post,0.19206249565972217,0.19206249565972217,0.23933333333333334,0.0,0.1953706726376693,0.021202294596965193,0.0,0.0,0.0,0.20260789183806147,0.00595508870417505,"{""0"": {""ci_high"": 0.25904729564271034, ""ci_low"": 0.1461684880334126, ""n_eff"": 603, ""tau"": 0.20260789183806147}, ""1"": {""ci_high"": 1.3859292911256331, ""ci_low"": -1.3859292911256331, ""n_eff"": 1, ""tau"": 0.0}}",,,
summary,,,,,,,,,,,,,0.023470929938955047,0.08596048523927366,1.1779248585433706
