step,mrr,ap,hits@10,last_loss,mem_norm_mean,n_groups_seen,w_pos_max,w_pos_min
200,0.0880961892507711,0.0880961892507711,0.075,0.6931471824645996,0.0015120881143957376,2.0,1.0,1.0
400,0.24243290639652035,0.24243290639652035,0.265,0.6919608116149902,0.002653408097103238,2.0,1.04,0.9600000000000001
600,0.24971281832372433,0.24971281832372433,0.265,0.6933770179748535,0.003783423686400056,2.0,1.0666666666666669,0.9333333333333335
800,0.2952891405456327,0.2952891405456327,0.32,0.6927620768547058,0.004787689074873924,2.0,1.0599999999999998,0.94
1000,0.23151758745505016,0.23151758745505016,0.285,0.6933369636535645,0.005781077779829502,2.0,1.0599999999999998,0.94
1200,0.1235720099924752,0.1235720099924752,0.145,0.6933253407478333,0.006915124133229256,2.0,1.0516666666666665,0.9483333333333333
1400,0.17194654255442923,0.17194654255442923,0.195,0.6932752728462219,0.008052032440900803,2.0,1.0371428571428571,0.9628571428571426
1600,0.2281442512381038,0.2281442512381038,0.265,0.6931946277618408,0.009109110571444035,2.0,1.0137500000000002,0.98625
1800,0.1808341536288853,0.1808341536288853,0.235,0.6931487917900085,0.010188470594584942,2.0,1.001111111111111,0.9988888888888889
2000,0.14101400372316122,0.14101400372316122,0.17,0.6931161284446716,0.011215968988835812,2.0,1.009,0.991
