step,phase,mrr,ap,hits@10,ndcg@10,deploy_hit@topk,gTE_gap,gCal_max,bound_gTE_gap,bound_gCal_max,eps_r0,pmin_gb,beta_r0,eps_r_delta,pmin_g,beta_r_delta,eps_r0_kernel,eps_r_delta_kernel,audit_n_active,audit_beta_t,audit_total_samples,last_loss,mem_norm_mean,n_groups_seen,w_pos_max,w_pos_min
200,pre,0.08435825076334862,0.08435825076334862,0.095,0.07593429742129673,0.055,0.0,0.48,0.04397326812551125,0.5223517877424639,0.005232964289298413,0.4975,0.005887050112577373,0.006775577390432436,0.4975,0.004162773055788489,0.005799040654629954,0.007494288157320624,3,0.024477468306808164,5000,0.6931471824645996,0.0015120881143957376,2.0,1.0,1.0
400,pre,0.1517164854858169,0.1517164854858169,0.1625,0.1446012282503057,0.1175,0.3047951630509186,0.48,0.17234825238503376,0.556903874084771,0.020419610876812277,0.4623,0.005887050112577373,0.03567552548301207,0.4623,0.004162773055788489,0.02766227045438804,0.04921936537395379,4,0.017308183826022852,10000,0.6954757571220398,0.002653408097103238,2.0,1.0,1.0
600,deploy,0.22493875898207333,0.22493875898207333,0.25,0.2225414237686116,0.18,0.005080415947913416,0.48,0.10402880672711311,0.5439312311652202,0.01058561942655208,0.43,0.008304809974492636,0.016493805996899896,0.43,0.005872387449429421,0.011452785992886187,0.018410836912085258,4,0.014132072916016227,15000,0.6931471824645996,0.003783423686400056,2.0,1.0,1.0
800,deploy,0.2775334489488009,0.2775334489488009,0.32,0.2802689715419422,0.21666666666666667,0.016178476669043262,0.7299975435782209,0.11164514275375749,0.9500806704799805,0.04606723468848177,0.075375,0.006692830995229252,0.022486922519533423,0.4774,0.004162773055788489,0.06102101825501114,0.026744700244150682,4,0.012238734153404082,20000,0.692987859249115,0.004787689074873924,2.0,1.0,1.0
1000,deploy,0.24445486632406654,0.24445486632406654,0.278,0.2443794716055982,0.196,0.017922296564256663,0.7299990790042797,0.18173979074627106,0.890756217823415,0.050849492152926744,0.089825,0.006692830995229252,0.0383052725468464,0.46735,0.004162773055788489,0.07099593032004953,0.036660259312376736,4,0.010946656610223947,25000,0.6931471824645996,0.005781077779829502,2.0,1.0,1.0
1200,post,0.11075465839343276,0.11075465839343276,0.135,0.10708978389330737,0.06,0.0,0.7298480318533564,0.0957890461729531,1.386673783613813,0.05570031432896403,0.0549,0.006692830995229252,0.019663554816656433,0.497475,0.004162773055788489,0.06273902585442528,0.02085271535845777,4,0.009992884591137821,30000,0.6931471824645996,0.006915124133229256,2.0,1.0,1.0
1400,post,0.1526879878807216,0.1526879878807216,0.1925,0.15328033631312318,0.095,0.0,0.7299975892590486,0.061689402914067985,1.1309056687296073,0.02830931264907608,0.054925,0.006343181205897598,0.010561716302263113,0.477375,0.004162773055788489,0.03126864975592908,0.01271607640277793,4,0.00925161340918281,35000,0.6931471824645996,0.008052032440900803,2.0,1.0,1.0
1600,post,0.17772433698114184,0.17772433698114184,0.225,0.18094812371308136,0.11666666666666667,0.3892743454578763,0.729819495135639,0.32846177403834187,1.6477690477802565,0.06360587271344027,0.0503,0.006692830995229252,0.0659843445622749,0.427125,0.004162773055788489,0.07066965172794257,0.0638899838130127,4,0.008654091913011426,40000,0.6983610391616821,0.009109110571444035,2.0,1.0,1.0
1800,post,0.16659597588964103,0.16659597588964103,0.21,0.1688692628373758,0.1075,0.0,0.7299958399083433,0.12418273464711457,1.2247030185574237,0.08583561005479025,0.09495,0.006692830995229252,0.02329402957468854,0.4422,0.004162773055788489,0.10258505799022338,0.025727524626380907,4,0.008159156102269388,45000,0.6932410001754761,0.010188470594584942,2.0,1.0,1.0
2000,post,0.16794885287301436,0.16794885287301436,0.213,0.1707718846798667,0.112,0.2147358111235579,0.7297699167988945,0.17228333090699616,1.072314048445273,0.09592175962896782,0.124825,0.006692830995229252,0.03436408681828853,0.44725,0.004162773055788489,0.12012816167884675,0.0335162671445664,4,0.0077404551204098984,50000,0.6931471824645996,0.011215968988835812,2.0,1.0,1.0
