phase,mrr,ap,hits@k,recall@k,ndcg@k,gCal_max,gTE_gap,gMin,gRisk,tau_avg,tau_min,tau_bands,delta_drift,delta_eff,utility_preservation
pre,0.1630515684143281,0.1630515684143281,0.174,0.0,0.15597840722899942,0.02,0.024253147773915462,0.002425314777391546,0.0,0.014952351762276862,0.005251092652710678,"{""0"": {""ci_high"": 0.09620279600337722, ""ci_low"": -0.04204494470490804, ""n_eff"": 402, ""tau"": 0.027078925649234593}, ""1"": {""ci_high"": 0.05170373534459314, ""ci_low"": -0.04605217959395488, ""n_eff"": 804, ""tau"": 0.0028257778753191316}}",,,
deploy,0.24908954626022742,0.24908954626022742,0.284,0.0,0.24935374548695713,0.019999999999999997,0.0,0.0,0.0,0.07054405909738194,0.005251092652710678,"{""0"": {""ci_high"": 1.3859292911256331, ""ci_low"": -1.3859292911256331, ""n_eff"": 1, ""tau"": 0.0}, ""1"": {""ci_high"": 0.16829997403592994, ""ci_low"": -0.027211855841166074, ""n_eff"": 201, ""tau"": 0.07054405909738194}}",,,
post,0.18963385657718776,0.18963385657718776,0.23666666666666666,0.0,0.19281250913455789,0.020302743621369086,0.0,0.0,0.0,0.029021508642171366,0.005251092652710678,"{""0"": {""ci_high"": 0.08546091244682022, ""ci_low"": -0.027417895162477494, ""n_eff"": 603, ""tau"": 0.029021508642171366}, ""1"": {""ci_high"": 1.3859292911256331, ""ci_low"": -1.3859292911256331, ""n_eff"": 1, ""tau"": 0.0}}",,,
summary,,,,,,,,,,,,,0.024253147773915462,0.00044159744119117925,1.1630299445836163
