step,phase,mrr,ap,hits@10,ndcg@10,deploy_hit@topk,gTE_gap,gCal_max,gCal_max_all,bound_gTE_gap,bound_gCal_max,eps_r0,pmin_gb,beta_r0,eps_r_delta,pmin_g,beta_r_delta,eps_r0_kernel,eps_r_delta_kernel,audit_n_active,audit_beta_t,audit_total_samples,audit_step_scale,audit_step_eff,cov_enabled,cov_eps,cov_pool_frac,cov_min_share_present,cov_max_deficit_present,pd_enabled,lambda_te,lambda_cal,rho_te,rho_cal,pd_cal_gate_open,pd_gte_soft,pd_gcal_soft,pd_v_te,pd_v_cal,pd_shift_abs_mean,pd_shift_abs_max,pd_shift_nonzero,last_loss,mem_norm_mean,n_groups_seen,w_pos_max,w_pos_min
100,pre,0.05079534737929114,0.05079534737929114,0.07,0.04538061274140282,0.02,0.0002140083810059159,0.020095179457752427,0.020095179457752427,0.47848055881050744,0.23415729407709474,0.01004758972887626,0.5,0.10703105730967111,0.01869969221082507,0.5,0.10092044749180179,0.020197515366596527,0.03741009404954505,2,0.01220825158015992,20100,1.0,0.25,1.0,0.1,0.0,0.5357663545663444,0.0,1.0,0.0,0.0,0.2,0.2,1.0,0.00019439041348853645,0.018152317701535973,-0.19980560958651147,-0.18184768229846404,0.0,0.0,0.0,0.6931471824645996,0.0008140271529555321,2.0,1.0,1.0
200,pre,0.08435825076334862,0.08435825076334862,0.095,0.07593429742129673,0.055,0.0,0.019999999999999997,0.019999999999999997,0.29586239540406045,0.17136477284246887,0.02000000000000001,1.0,0.15136477284246885,0.005208132138362339,1.0,0.1427230655636679,0.020099712158832307,0.0052340978433123575,2,0.007060155444539783,60100,1.0,0.25,1.0,0.1,0.0,0.5036143387731684,0.0,1.0,0.0,0.0,0.2,0.2,1.0,0.0,0.017370689525808884,-0.2,-0.18262931047419112,0.0,0.0,0.0,0.6931471824645996,0.0015120881143957376,2.0,1.0,1.0
300,pre,0.11858112590230428,0.11858112590230428,0.12666666666666668,0.11026549581657906,0.08333333333333333,0.0,0.02141051580063739,0.02141051580063739,0.36606421899208724,0.17277528864310623,0.021410515800637374,1.0,0.15136477284246885,0.04030904393237572,1.0,0.1427230655636679,0.021597024463861653,0.04064826702800141,2,0.005470593691748612,100100,1.0,0.25,1.0,0.1,0.0,0.5185778877503396,0.0,1.0,0.0,0.0,0.2,0.2,1.0,0.0,0.01859577112801488,-0.2,-0.18140422887198512,0.0,0.0,0.0,0.6924492120742798,0.0021100060548633337,2.0,1.0,1.0
400,pre,0.1517164854858169,0.1517164854858169,0.1625,0.1446012282503057,0.1175,0.2920881971247698,0.2611348733131049,0.2611348733131049,2.3830325430393042,1.38300141472699,0.20890789865048312,0.2,0.06769238429491488,0.17447555899242628,0.2,0.06382769531150415,0.2216102893678534,0.17324016752842833,2,0.004624155515281404,140100,1.0,0.25,1.0,0.1,0.0,0.4394167414690354,0.0,1.0,0.009660267396306092,0.0,0.2,0.2,0.0,0.27456344520081527,0.24457875428750367,0.07456344520081526,0.04457875428750366,0.0,0.0,0.0,0.6954757571220398,0.002653408097103238,2.0,1.0,1.0
500,pre,0.1630515684143281,0.1630515684143281,0.174,0.15597840722899942,0.13,0.024253147773915462,0.02,0.331658273935318,0.5127249251993934,0.23073926289029717,0.013333333333333123,0.3308457711442786,0.06300577603086967,0.02718770667376964,0.3333333333333333,0.05826644752612926,0.02093973972200465,0.03260030078008085,3,0.004078445306964272,180100,1.0,0.25,1.0,0.1,0.0,0.45120708372961527,0.0,1.0,0.0,0.0,0.2,0.2,1.0,0.022917808488222564,0.01881457321396455,-0.17708219151177745,-0.18118542678603547,0.0,0.0,0.0,0.6931471824645996,0.0032677261624485254,2.0,1.0,1.0
600,deploy,0.22493875898207333,0.22493875898207333,0.25,0.2225414237686116,0.18,0.0,0.019999999999999997,0.019999999999999997,0.34439152738609136,0.17136477284246887,0.02000000000000001,1.0,0.15136477284246885,0.02947269812937778,1.0,0.1427230655636679,0.0201502070472529,0.029694048477407333,3,0.003868293896551793,200200,1.0,0.25,1.0,0.1,0.0,0.4499654466026432,0.0,1.0,0.0,0.0,0.2,0.2,1.0,0.0,0.017370689525808884,-0.2,-0.18262931047419112,0.0,0.0,0.0,0.6931471824645996,0.003783423686400056,2.0,1.0,1.0
700,deploy,0.2641394116295935,0.2641394116295935,0.305,0.26628017536950077,0.21,0.0,0.02237481155453694,0.02237481155453694,0.22557663457343669,0.1114784345252342,0.022374811554536647,1.0,0.08910362297069756,0.030387116963966083,1.0,0.08240120032275226,0.02240276192544096,0.030597226506340072,4,0.003531547057493673,240200,1.0,0.25,1.0,0.1,0.0,0.515940209293317,0.0,1.0,0.0,0.0,0.19166666666666665,0.19166666666666665,1.0,0.0,0.0205442449025247,-0.19166666666666665,-0.17112242176414194,0.0,0.0,0.0,0.6954956650733948,0.004285677336156368,2.0,1.0,1.0
800,deploy,0.2775334489488009,0.2775334489488009,0.32,0.2802689715419422,0.21666666666666667,0.0,0.020235639879821802,0.020235639879821802,0.2745667590025007,0.13110783135411194,0.020235639879821594,1.0,0.11087219147429035,0.03636293200944856,1.0,0.10092044749180179,0.02041959776479422,0.036629809626658856,4,0.003269771722116655,280200,1.0,0.25,1.0,0.1,0.0,0.4393547325184611,0.0,1.0,0.0,0.0,0.18333333333333335,0.18333333333333335,1.0,0.0,0.018215992834392715,-0.18333333333333335,-0.16511734049894064,0.0,0.0,0.0,0.692987859249115,0.004787689074873924,2.0,1.0,1.0
900,deploy,0.25501378416334264,0.25501378416334264,0.2925,0.25565091117119604,0.2,0.0,0.019999999999999997,0.019999999999999997,0.3291545369616732,0.13087219147429013,0.019999999999999796,1.0,0.11087219147429035,0.0636568209890348,1.0,0.10092044749180179,0.020192430951327136,0.06426926699053415,4,0.003058727835207809,320200,1.0,0.25,1.0,0.1,0.0,0.5117018347158804,0.0,1.0,0.0,0.0,0.17500000000000002,0.17500000000000002,1.0,0.0,0.018003871330559695,-0.17500000000000002,-0.15699612866944032,0.0,0.0,0.0,0.6931471824645996,0.00528307631611824,2.0,1.0,1.0
1000,deploy,0.24908954626022742,0.24908954626022742,0.284,0.24935374548695713,0.2,0.0,0.019999999999999997,0.019999999999999997,0.36596300871885534,0.17679695687296806,0.02000000000000001,1.0,0.15679695687296805,0.04025843879575977,1.0,0.1427230655636679,0.020138792743398682,0.040537817754030266,4,0.002883896333252887,360200,1.0,0.25,1.0,0.1,0.0,0.4464199776042785,0.0,1.0,0.0,0.0,0.16666666666666666,0.16666666666666666,1.0,0.0,0.017289118787158313,-0.16666666666666666,-0.14937754787950835,0.0,0.0,0.0,0.6931471824645996,0.005781077779829502,2.0,1.0,1.0
