step,mrr,ap,hits@10,last_loss,mem_norm_mean,n_groups_seen,w_pos_max,w_pos_min
500,0.9941808731808732,0.9941808731808732,0.994,0.6666887998580933,0.0231917817145586,1.0,1.0,1.0
1000,0.990554331099341,0.990554331099341,0.992,0.6631892323493958,0.031592994928359985,1.0,1.0,1.0
1500,0.9841905834405836,0.9841905834405836,0.984,0.6674595475196838,0.036267295479774475,1.0,1.0,1.0
2000,0.9877873873873875,0.9877873873873875,0.992,0.6780957579612732,0.03693952038884163,1.0,1.0,1.0
2500,0.9769675675675675,0.9769675675675675,0.99,0.6738370060920715,0.03986448794603348,1.0,1.0,1.0
3000,0.9986666666666667,0.9986666666666667,1.0,0.6738541126251221,0.03985770046710968,1.0,1.0,1.0
3500,0.9963076923076923,0.9963076923076923,0.996,0.6641514897346497,0.04535092040896416,1.0,1.0,1.0
4000,0.8149302721088435,0.8149302721088435,0.998,0.6663552522659302,0.04560409486293793,1.0,1.0,1.0
4500,0.49294445650600677,0.49294445650600677,0.996,0.667167603969574,0.045709580183029175,1.0,1.0,1.0
5000,0.856277027027027,0.856277027027027,0.996,0.6670711040496826,0.0471104234457016,1.0,1.0,1.0
5500,0.9795627413127413,0.9795627413127413,0.996,0.6674483418464661,0.04722564294934273,1.0,1.0,1.0
6000,0.9928333333333333,0.9928333333333333,1.0,0.6678858399391174,0.04717288911342621,1.0,1.0,1.0
6500,0.9815968468468467,0.9815968468468467,0.998,0.6690554618835449,0.047887228429317474,1.0,1.0,1.0
7000,0.9955,0.9955,1.0,0.6683623790740967,0.04788445308804512,1.0,1.0,1.0
7500,0.9985,0.9985,1.0,0.668147623538971,0.04788476973772049,1.0,1.0,1.0
8000,0.9378603603603602,0.9378603603603602,0.996,0.6684616804122925,0.050078168511390686,1.0,1.0,1.0
8500,0.9593333333333333,0.9593333333333333,1.0,0.6637994647026062,0.05284256115555763,1.0,1.0,1.0
9000,0.999,0.999,1.0,0.6634714007377625,0.052842579782009125,1.0,1.0,1.0
9500,0.4653206172745581,0.4653206172745581,0.988,0.6658812761306763,0.0554775707423687,1.0,1.0,1.0
10000,0.4797500000000001,0.4797500000000001,1.0,0.6658499836921692,0.05546750873327255,1.0,1.0,1.0
10500,0.4996666666666667,0.4996666666666667,1.0,0.6655204892158508,0.05546753108501434,1.0,1.0,1.0
11000,0.5126802721088436,0.5126802721088436,0.998,0.6659329533576965,0.05557822063565254,1.0,1.0,1.0
11500,0.5,0.5,1.0,0.6656115651130676,0.05557820573449135,1.0,1.0,1.0
12000,0.5,0.5,1.0,0.6652829051017761,0.05557820573449135,1.0,1.0,1.0
12500,0.4377500000000022,0.4377500000000022,1.0,0.6653167009353638,0.05557820573449135,1.0,1.0,1.0
