phase,mrr,ap,hits@k,recall@k,ndcg@k,gCal_max,gTE_gap,gMin,gRisk,tau_avg,tau_min,tau_bands,delta_drift,delta_eff,utility_preservation
pre,0.1630515684143281,0.1630515684143281,0.174,0.0,0.15597840722899942,0.02,0.023470929938955047,0.002347092993895505,0.0,0.01534346067975707,0.00595508870417505,"{""0"": {""ci_high"": 0.09620279600337722, ""ci_low"": -0.04204494470490804, ""n_eff"": 402, ""tau"": 0.027078925649234593}, ""1"": {""ci_high"": 0.052485953179553554, ""ci_low"": -0.04526996175899446, ""n_eff"": 804, ""tau"": 0.003607995710279545}}",,,
deploy,0.24908954626022742,0.24908954626022742,0.284,0.0,0.24935374548695713,0.019999999999999997,0.0,0.0,0.0,0.07054405909738194,0.00595508870417505,"{""0"": {""ci_high"": 1.3859292911256331, ""ci_low"": -1.3859292911256331, ""n_eff"": 1, ""tau"": 0.0}, ""1"": {""ci_high"": 0.16829997403592994, ""ci_low"": -0.027211855841166074, ""n_eff"": 201, ""tau"": 0.07054405909738194}}",,,
post,0.1826266622380345,0.1826266622380345,0.23,0.0,0.1858335218414001,0.02008878074129514,0.0,0.0,0.0,0.1259372047495824,0.00595508870417505,"{""0"": {""ci_high"": 0.18237660855423127, ""ci_low"": 0.06949780094493353, ""n_eff"": 603, ""tau"": 0.1259372047495824}, ""1"": {""ci_high"": 1.3859292911256331, ""ci_low"": -1.3859292911256331, ""n_eff"": 1, ""tau"": 0.0}}",,,
summary,,,,,,,,,,,,,0.023470929938955047,0.04762514169503412,1.1200546183889775
