step,phase,mrr,ap,hits@10,ndcg@10,deploy_hit@topk,gTE_gap,gCal_max,gCal_max_all,bound_gTE_gap,bound_gCal_max,eps_r0,pmin_gb,beta_r0,eps_r_delta,pmin_g,beta_r_delta,eps_r0_kernel,eps_r_delta_kernel,audit_n_active,audit_beta_t,audit_total_samples,audit_step_scale,audit_step_eff,cov_enabled,cov_eps,cov_pool_frac,cov_min_share_present,cov_max_deficit_present,pd_enabled,lambda_te,lambda_cal,rho_te,rho_cal,pd_cal_gate_open,pd_gte_soft,pd_gcal_soft,pd_v_te,pd_v_cal,pd_shift_abs_mean,pd_shift_abs_max,pd_shift_nonzero,last_loss,mem_norm_mean,n_groups_seen,w_pos_max,w_pos_min
1500,post,0.15808316191536034,0.15808316191536034,0.204,0.16036091264867755,0.098,0.006166921871994635,0.019999999999999997,0.019999999999999997,0.4600615163292276,0.24472036388059082,0.010000000000000005,0.5,0.1123601819402954,0.014094931590505103,0.5,0.10092044749180179,0.020141042747447352,0.0249996432459605,6,0.002354691495850988,540300,2.037209844100298,0.5093024610250745,1.0,0.1,0.0,0.44289710183459113,0.0,1.0,0.0,0.07459433760125841,0.065,0.065,1.0,0.005601605353088474,0.01797978777441844,-0.05939839464691153,-0.04702021222558156,0.0,0.0,0.0,0.6931471824645996,0.008593413978815079,2.0,1.0,1.0
1600,post,0.17475620839558315,0.17475620839558315,0.22166666666666668,0.17776287625078774,0.11166666666666666,0.0,0.4838442224291418,0.4838442224291418,0.7558559757807066,0.5947164139034312,0.4838442224291408,1.0,0.11087219147429035,0.2770075403985515,1.0,0.10092044749180179,0.5073081866262971,0.29035499607520254,6,0.002272088344385108,580300,1.7459433760125842,0.43648584400314605,1.0,0.1,0.0,0.14310085985845003,0.0,1.0,0.0,0.13969349360874214,0.05,0.05,1.0,0.0,0.43555345623244884,-0.05,0.38555345623244885,0.0,0.0,0.0,0.698510468006134,0.009109110571444035,2.0,1.0,1.0
1700,post,0.17597330515558474,0.17597330515558474,0.22285714285714286,0.17902258299107965,0.11285714285714285,0.0,0.019999999999999997,0.019999999999999997,0.38398009531123006,0.17890129317067427,0.02000000000000001,1.0,0.15890129317067425,0.04926698209194713,1.0,0.1427230655636679,0.02017719202269904,0.04970346790240454,6,0.0021976099285266797,620300,2.3969349360874217,0.5992337340218554,1.0,0.1,0.0,0.5141281140793025,0.0,1.0,0.0,0.1204786579039664,0.05,0.05,1.0,0.0,0.017257725155592304,-0.05,-0.0327422748444077,0.0,0.0,0.0,0.6931471824645996,0.009640074335038662,2.0,1.0,1.0
1800,post,0.1696718515781901,0.1696718515781901,0.21375,0.1720160923275946,0.11,0.18820115127157463,0.4457494701756896,0.4457494701756896,0.618210266434204,0.673799138574594,0.22286327008686582,0.4975124378109453,0.1123601819402954,0.05363211911674919,0.5,0.10092044749180179,0.4470282561138481,0.01292972147797217,6,0.002130006115988426,660300,2.204786579039664,0.551196644759916,1.0,0.1,0.0,0.486504557519594,0.0,1.0,0.0,0.1204786579039664,0.05,0.05,0.0,0.1709489107049909,0.40072404371591813,0.1209489107049909,0.35072404371591814,0.0,0.0,0.0,0.6931938529014587,0.010188470594584942,2.0,1.0,1.0
1900,post,0.16844662668056243,0.16844662668056243,0.2111111111111111,0.17042009005433648,0.11222222222222222,0.0009523670355933184,0.390451306334312,0.390451306334312,0.5364285581430643,0.6205539754578521,0.1950768074003064,0.4975124378109453,0.11365651372300309,0.0331866920439643,0.5,0.10092044749180179,0.21486746386900124,0.06625978674870575,6,0.0020682804929612153,700300,1.0,0.25,1.0,0.1,0.0,0.47112892901376663,0.0,1.0,0.0,0.17394493551923967,0.05,0.05,1.0,0.0008650643538895761,0.3506029925053067,-0.04913493564611043,0.3006029925053067,0.0,0.0,0.0,0.6925423741340637,0.010742252692580223,2.0,1.0,1.0
2000,post,0.1770444012434561,0.1770444012434561,0.221,0.17940171416744705,0.121,0.226557216445744,0.021183488071074626,0.021183488071074626,0.7094218655597849,0.16999922880364857,0.012104850326328177,0.42857142857142855,0.060751962018092624,0.09807472292934935,0.42857142857142855,0.053944248262033125,0.021093245331173852,0.07387988404833515,6,0.0020116277796502473,740300,2.739449355192397,0.6848623387980992,1.0,0.1,0.0,0.4115492972107519,0.0,1.0,0.0,0.17394493551923967,0.05,0.05,0.0,0.21496129118721374,0.0199702558464024,0.16496129118721375,-0.030029744153597604,0.0,0.0,0.0,0.6931471824645996,0.011215968988835812,2.0,1.0,1.0
2100,post,0.1740930329082834,0.1740930329082834,0.21636363636363637,0.1758543413105339,0.12,0.715720646836871,0.4627442344484656,0.4627442344484656,1.9270145596751314,0.7871165624605109,0.1153704926306351,0.24751243781094528,0.07945064658533713,0.16951528717755748,0.25,0.07136153278183395,0.13610880011616996,0.15146873981907794,6,0.0019593891355172196,780300,1.0,0.25,1.0,0.1,0.9900497512437811,0.08661491509269638,0.013385084907303627,1.0,0.09951422299170146,0.17394493551923967,0.05,0.05,0.0,0.6680477363962033,0.4286849388735651,0.6180477363962033,0.37868493887356514,0.0,0.0,0.0,0.6937355995178223,0.01173464860767126,2.0,1.0,1.0
2200,post,0.17965443788482463,0.17965443788482463,0.22166666666666668,0.18145268534963635,0.12583333333333332,0.15192129536211432,0.33755977831539224,0.5991091533983156,1.4036353028099149,1.1015018828936325,0.14440406393822275,0.19701492537313434,0.07260824731843321,0.07653583496948735,0.2,0.06382769531150415,0.15480342807222405,0.07259964038348525,7,0.001911019608701627,820300,1.0,0.25,1.0,0.1,0.009950248756218905,0.07673930129184346,0.023260698708156544,1.0,0.09583628436442043,0.17394493551923967,0.05,0.05,0.0,0.14280629845571896,0.3147092884651094,0.09280629845571896,0.26470928846510944,0.005249383124336844,0.005249383124336844,1.0,0.6933282613754272,0.012202576734125614,2.0,1.0,1.0
2300,post,0.17607278952671088,0.17607278952671088,0.21846153846153846,0.17789368514299367,0.12230769230769231,0.0,0.39016016453736435,0.39016016453736435,0.33303320848447104,0.709203214545017,0.1436009166600085,0.3333333333333333,0.0928001548549972,0.08411540391948326,1.0,0.08240120032275226,0.15013732325041,0.09277152373119088,7,0.0018660640131731856,860300,1.0,0.25,1.0,0.1,0.0,0.3324290765163633,0.0,1.0,0.0625970860459956,0.2348367566859384,0.05,0.05,1.0,0.0,0.35702791842039444,-0.05,0.30702791842039445,0.012365724186000675,0.012365724186000673,1.0,0.6935444474220276,0.012756671756505966,2.0,1.0,1.0
2400,post,0.17424915471661823,0.17424915471661823,0.21571428571428572,0.17584349098271904,0.12142857142857143,0.026420036479777025,0.43634396796813774,0.43634396796813774,0.8682931767571035,0.9461556257808869,0.07376111960087155,0.1414356787491116,0.060059043533738615,0.0700976341318388,0.2857142857142857,0.053944248262033125,0.08203578843887543,0.10865573505380786,7,0.0018241387705732678,900300,3.348367566859384,0.837091891714846,1.0,0.1,1.0,0.0814080265901706,0.018591973409829404,1.0,0.033872798060954806,0.3138799056335893,0.05,0.05,1.0,0.02506777424265466,0.4116223248410504,-0.02493222575734534,0.3616223248410504,0.00010621188131015391,0.00010621188131015395,1.0,0.6933857798576355,0.013259855099022388,2.0,1.0,1.0
