step,mrr,ap,hits@10,model,last_loss
14600,0.21164869692760185,0.21164869692760185,0.36,graphmixer,0.8040205240249634
14800,0.2743450234966458,0.2743450234966458,0.41,graphmixer,0.7223365306854248
15000,0.2246834191743757,0.2246834191743757,0.355,graphmixer,0.8295899629592896
15200,0.21036665149994033,0.21036665149994033,0.34,graphmixer,0.7354698181152344
15400,0.2146820605370329,0.2146820605370329,0.335,graphmixer,0.6207627654075623
15600,0.21373193581281555,0.21373193581281555,0.37,graphmixer,0.47779223322868347
15800,0.22436668012404476,0.22436668012404476,0.36,graphmixer,0.8256164193153381
16000,0.28623920570494277,0.28623920570494277,0.405,graphmixer,0.8144271373748779
16200,0.2566880118226227,0.2566880118226227,0.43,graphmixer,0.8086032271385193
16400,0.2548783071462757,0.2548783071462757,0.46,graphmixer,0.8637765049934387
16600,0.2527123058995766,0.2527123058995766,0.39,graphmixer,0.8631953001022339
16800,0.25224499877256673,0.25224499877256673,0.38,graphmixer,0.8387135863304138
17000,0.25708929679289677,0.25708929679289677,0.39,graphmixer,0.29311397671699524
17200,0.20239354846600133,0.20239354846600133,0.36,graphmixer,0.8179770708084106
17400,0.30469929532275336,0.30469929532275336,0.485,graphmixer,0.28086763620376587
17600,0.2495627711506643,0.2495627711506643,0.43,graphmixer,0.44289278984069824
17800,0.23127463174356439,0.23127463174356439,0.37,graphmixer,0.4647217392921448
18000,0.24160127877247178,0.24160127877247178,0.395,graphmixer,0.46193060278892517
18200,0.2810283601363188,0.2810283601363188,0.39,graphmixer,0.8077964782714844
18400,0.28370516473616725,0.28370516473616725,0.455,graphmixer,0.4842482805252075
18600,0.2869098447365656,0.2869098447365656,0.435,graphmixer,0.39875033497810364
18800,0.24696553298224821,0.24696553298224821,0.375,graphmixer,0.4070965051651001
19000,0.32442307059182424,0.32442307059182424,0.45,graphmixer,0.3207530975341797
19200,0.2625617627180529,0.2625617627180529,0.4,graphmixer,0.8193829655647278
19400,0.17461303309277476,0.17461303309277476,0.295,graphmixer,0.9294017553329468
19600,0.22452741252921687,0.22452741252921687,0.35,graphmixer,0.800076961517334
19800,0.17842456300090853,0.17842456300090853,0.335,graphmixer,0.8059925436973572
20000,0.17881589815352444,0.17881589815352444,0.345,graphmixer,0.36678457260131836
20200,0.22255751062798268,0.22255751062798268,0.45,graphmixer,0.33137694001197815
20400,0.2522786197246409,0.2522786197246409,0.4,graphmixer,0.4268741309642792
20600,0.2548569229318809,0.2548569229318809,0.415,graphmixer,0.8281270265579224
20800,0.2677435389170248,0.2677435389170248,0.43,graphmixer,0.8446944952011108
21000,0.26977012920239246,0.26977012920239246,0.38,graphmixer,0.43208107352256775
21200,0.29439764337773483,0.29439764337773483,0.495,graphmixer,0.8364024758338928
21400,0.19401500180168318,0.19401500180168318,0.33,graphmixer,0.548140823841095
21600,0.2722005455096968,0.2722005455096968,0.45,graphmixer,0.843725323677063
21800,0.2992886256013667,0.2992886256013667,0.435,graphmixer,0.8408159017562866
22000,0.2750548999224133,0.2750548999224133,0.4,graphmixer,0.4955359101295471
22200,0.2483648016271202,0.2483648016271202,0.34,graphmixer,0.4248299300670624
22400,0.25031218352421275,0.25031218352421275,0.39,graphmixer,0.5622437596321106
22600,0.23840632574465526,0.23840632574465526,0.39,graphmixer,0.8047201037406921
22800,0.21784710342799107,0.21784710342799107,0.345,graphmixer,0.6014895439147949
23000,0.22818386412088626,0.22818386412088626,0.33,graphmixer,0.35244911909103394
23200,0.2309664096510644,0.2309664096510644,0.385,graphmixer,0.34038084745407104
23400,0.18736166643036573,0.18736166643036573,0.32,graphmixer,0.7674530148506165
23600,0.1766695495730488,0.1766695495730488,0.3,graphmixer,0.46595853567123413
23800,0.24247007107984164,0.24247007107984164,0.385,graphmixer,0.5532928705215454
24000,0.20382426306239146,0.20382426306239146,0.32,graphmixer,0.6786463260650635
24200,0.2007791349384672,0.2007791349384672,0.325,graphmixer,0.7826074361801147
24400,0.27546653786573755,0.27546653786573755,0.425,graphmixer,0.4316151738166809
24600,0.19409179776921143,0.19409179776921143,0.345,graphmixer,0.8428950309753418
24800,0.21254160869295938,0.21254160869295938,0.36,graphmixer,0.31147390604019165
25000,0.24957072230066468,0.24957072230066468,0.385,graphmixer,0.5293161273002625
25200,0.25324778402932585,0.25324778402932585,0.415,graphmixer,0.8030117750167847
25400,0.24603736603552137,0.24603736603552137,0.39,graphmixer,0.591806173324585
25600,0.2692982186848748,0.2692982186848748,0.405,graphmixer,0.7014989852905273
25800,0.21357847572851152,0.21357847572851152,0.405,graphmixer,0.2442038208246231
26000,0.2439144354694976,0.2439144354694976,0.405,graphmixer,0.34687867760658264
26200,0.22808494872339158,0.22808494872339158,0.445,graphmixer,0.9413420557975769
26400,0.21409168247910035,0.21409168247910035,0.37,graphmixer,0.44498729705810547
26600,0.23131677868076983,0.23131677868076983,0.44,graphmixer,0.5261218547821045
26800,0.25785317745920655,0.25785317745920655,0.42,graphmixer,0.37802669405937195
27000,0.25398128008973986,0.25398128008973986,0.465,graphmixer,0.8432665467262268
27200,0.32354962555465383,0.32354962555465383,0.5,graphmixer,0.4696805477142334
27400,0.204257761640716,0.204257761640716,0.37,graphmixer,0.8296502232551575
27600,0.26184798650044555,0.26184798650044555,0.425,graphmixer,0.520622193813324
27800,0.21531018078432415,0.21531018078432415,0.39,graphmixer,0.4191801846027374
28000,0.2317650398269942,0.2317650398269942,0.36,graphmixer,0.48765745759010315
28200,0.2370280391206844,0.2370280391206844,0.375,graphmixer,0.6873326897621155
28400,0.23812521817568552,0.23812521817568552,0.42,graphmixer,0.7956331968307495
28600,0.19949852905103288,0.19949852905103288,0.365,graphmixer,0.7565699219703674
28800,0.20937901301027473,0.20937901301027473,0.35,graphmixer,0.4951052963733673
29000,0.23026832174338485,0.23026832174338485,0.395,graphmixer,0.5833842158317566
29200,0.27817164695172064,0.27817164695172064,0.395,graphmixer,0.8652932047843933
29400,0.2250463895443597,0.2250463895443597,0.4,graphmixer,0.35802000761032104
29600,0.20701322638538927,0.20701322638538927,0.385,graphmixer,0.7841434478759766
29800,0.1893129878788202,0.1893129878788202,0.305,graphmixer,0.6310080289840698
30000,0.19582293143918936,0.19582293143918936,0.3,graphmixer,0.7660706639289856
30200,0.1754282536450831,0.1754282536450831,0.295,graphmixer,0.7233270406723022
30400,0.19371949727396726,0.19371949727396726,0.31,graphmixer,0.5135310292243958
30600,0.20932083825527636,0.20932083825527636,0.355,graphmixer,0.28196555376052856
30800,0.16092867568576769,0.16092867568576769,0.285,graphmixer,0.7733104825019836
31000,0.19780872941285277,0.19780872941285277,0.31,graphmixer,0.47468340396881104
31200,0.17244664611802402,0.17244664611802402,0.32,graphmixer,0.7404752969741821
31400,0.19418386177087704,0.19418386177087704,0.355,graphmixer,0.7662467360496521
31600,0.2158419856422748,0.2158419856422748,0.365,graphmixer,0.776494026184082
31800,0.22280900438567788,0.22280900438567788,0.365,graphmixer,0.8156066536903381
32000,0.2149827516611072,0.2149827516611072,0.38,graphmixer,0.4542957544326782
32200,0.23166888689042614,0.23166888689042614,0.38,graphmixer,0.8270944952964783
32400,0.23828295770608984,0.23828295770608984,0.41,graphmixer,0.4846125543117523
32600,0.19441428637321848,0.19441428637321848,0.41,graphmixer,0.8143972158432007
32800,0.2561015061898222,0.2561015061898222,0.45,graphmixer,0.48368725180625916
33000,0.2843194559187058,0.2843194559187058,0.44,graphmixer,0.42475154995918274
33200,0.1873829871895607,0.1873829871895607,0.32,graphmixer,0.8697155117988586
33400,0.2624589524027184,0.2624589524027184,0.445,graphmixer,0.5792959928512573
33600,0.17255713639395473,0.17255713639395473,0.325,graphmixer,0.8101074695587158
33800,0.2129901631628228,0.2129901631628228,0.36,graphmixer,0.7998073101043701
34000,0.24391270929027592,0.24391270929027592,0.455,graphmixer,0.7776429653167725
34200,0.2337830562466566,0.2337830562466566,0.395,graphmixer,0.8150544762611389
34400,0.26483679857779285,0.26483679857779285,0.42,graphmixer,0.8194306492805481
34600,0.24139992140719485,0.24139992140719485,0.415,graphmixer,0.754938542842865
34800,0.21767651701578783,0.21767651701578783,0.355,graphmixer,0.6580148339271545
