step,phase,mrr,ap,hits@10,ndcg@10,deploy_hit@topk,gTE_gap,gCal_max,gCal_max_all,bound_gTE_gap,bound_gCal_max,eps_r0,pmin_gb,beta_r0,eps_r_delta,pmin_g,beta_r_delta,eps_r0_kernel,eps_r_delta_kernel,audit_n_active,audit_beta_t,audit_total_samples,audit_step_scale,audit_step_eff,cov_enabled,cov_eps,cov_pool_frac,cov_min_share_present,cov_max_deficit_present,pd_enabled,lambda_te,lambda_cal,rho_te,rho_cal,pd_cal_gate_open,pd_gte_soft,pd_gcal_soft,pd_v_te,pd_v_cal,pd_shift_abs_mean,pd_shift_abs_max,pd_shift_nonzero,last_loss,mem_norm_mean,n_groups_seen,w_pos_max,w_pos_min
100,pre,0.05079534737929114,0.05079534737929114,0.07,0.04538061274140282,0.02,0.0,0.020095179457752427,0.020095179457752427,0.47848055881050744,0.23415729407709474,0.01004758972887626,0.5,0.10703105730967111,0.01869969221082507,0.5,0.10092044749180179,0.020245459620305314,0.037302292719995085,2,0.01220825158015992,20100,1.0,0.25,1.0,0.1,0.0,0.5357663545663444,0.0,1.0,0.0,0.0,0.2,0.2,1.0,0.0,0.018152317701535973,-0.2,-0.18184768229846404,0.0,0.0,0.0,0.6931471824645996,0.0008140271529555321,2.0,1.0,1.0
200,pre,0.08435825076334862,0.08435825076334862,0.095,0.07593429742129673,0.055,0.0,0.019999999999999997,0.019999999999999997,0.32332651629847814,0.17136477284246887,0.02000000000000001,1.0,0.15136477284246885,0.018940192585571176,1.0,0.1427230655636679,0.020121659670627515,0.019055405465150235,2,0.007060155444539783,60100,1.0,0.25,1.0,0.1,0.0,0.5036143387731684,0.0,1.0,0.0,0.0,0.2,0.2,1.0,0.0,0.017370689525808884,-0.2,-0.18262931047419112,0.0,0.0,0.0,0.6931471824645996,0.0015120881143957376,2.0,1.0,1.0
300,pre,0.11858112590230428,0.11858112590230428,0.12666666666666668,0.11026549581657906,0.08333333333333333,0.0,0.02141051580063739,0.02141051580063739,0.3730048077016213,0.17277528864310623,0.021410515800637374,1.0,0.15136477284246885,0.04377933828714276,1.0,0.1427230655636679,0.021599957285151287,0.04415152966527747,2,0.005470593691748612,100100,1.0,0.25,1.0,0.1,0.0,0.5185778877503396,0.0,1.0,0.0,0.0,0.2,0.2,1.0,0.0,0.01859577112801488,-0.2,-0.18140422887198512,0.0,0.0,0.0,0.6924492120742798,0.0021100060548633337,2.0,1.0,1.0
400,pre,0.1517164854858169,0.1517164854858169,0.1625,0.1446012282503057,0.1175,0.3230830859276945,0.2611348733131049,0.2611348733131049,2.5944010687780787,1.38300141472699,0.20890789865048312,0.2,0.06769238429491488,0.19561241156630374,0.2,0.06382769531150415,0.22162392431504124,0.19465814067705148,2,0.004624155515281404,140100,1.0,0.25,1.0,0.1,0.0,0.4394167414690354,0.0,1.0,0.016664414085300693,0.0,0.2,0.2,0.0,0.3036986979673349,0.24457875428750367,0.10369869796733489,0.04457875428750366,0.0,0.0,0.0,0.6954757571220398,0.002653408097103238,2.0,1.0,1.0
500,pre,0.1630515684143281,0.1630515684143281,0.174,0.15597840722899942,0.13,0.023470929938955047,0.02,0.331658273935318,0.5116996663315684,0.23073926289029717,0.013333333333333123,0.3308457711442786,0.06300577603086967,0.027016830195798796,0.3333333333333333,0.05826644752612926,0.020940562153861756,0.03260070271121378,3,0.004078445306964272,180100,1.0,0.25,1.0,0.1,0.0,0.45120708372961527,0.0,1.0,0.0,0.0,0.2,0.2,1.0,0.022178658308427128,0.01881457321396455,-0.17782134169157288,-0.18118542678603547,0.0,0.0,0.0,0.6931471824645996,0.0032677261624485254,2.0,1.0,1.0
600,deploy,0.22493875898207333,0.22493875898207333,0.25,0.2225414237686116,0.18,0.0,0.019999999999999997,0.019999999999999997,0.332499453585111,0.17136477284246887,0.02000000000000001,1.0,0.15136477284246885,0.0235266612288876,1.0,0.1427230655636679,0.0201410047556745,0.02369252978480838,3,0.003868293896551793,200200,1.0,0.25,1.0,0.1,0.0,0.4499654466026432,0.0,1.0,0.0,0.0,0.2,0.2,1.0,0.0,0.017370689525808884,-0.2,-0.18262931047419112,0.0,0.0,0.0,0.6931471824645996,0.003783423686400056,2.0,1.0,1.0
700,deploy,0.263903609517013,0.263903609517013,0.305,0.26628017536950077,0.22,0.0,0.022351405310502705,0.022351405310502705,0.21941944418990109,0.11145502828119996,0.022351405310502403,1.0,0.08910362297069756,0.02730852177219828,1.0,0.08240120032275226,0.022380826783510832,0.027490463223513107,4,0.003531547057493673,240200,1.0,0.25,1.0,0.1,0.0,0.31391600645836,0.0,1.0,0.0,0.0,0.18500000000000003,0.18500000000000003,1.0,0.0,0.020522753610474464,-0.18500000000000003,-0.16447724638952557,0.0,0.0,0.0,0.6954658031463623,0.004285677336156368,2.0,1.0,1.0
800,deploy,0.28069299712582024,0.28069299712582024,0.3233333333333333,0.2836023048752755,0.22666666666666666,0.0,0.020371902972585343,0.020371902972585343,0.2273229614107478,0.1312440944468755,0.020371902972585135,1.0,0.11087219147429035,0.012741033213572108,1.0,0.10092044749180179,0.020537216469475646,0.01278679244639044,4,0.003269771722116655,280200,1.0,0.25,1.0,0.1,0.0,0.377230820549326,0.0,1.0,0.0,0.0,0.17000000000000004,0.17000000000000004,1.0,0.0,0.018338655993853658,-0.17000000000000004,-0.1516613440061464,0.0,0.0,0.0,0.692923903465271,0.004787689074873924,2.0,1.0,1.0
900,deploy,0.25779993939844315,0.25779993939844315,0.295,0.25851039320342595,0.2075,0.0,0.019999999999999997,0.019999999999999997,0.3524130959622006,0.13087219147429013,0.019999999999999796,1.0,0.11087219147429035,0.07528610048929853,1.0,0.10092044749180179,0.02021099102755538,0.07608058264891923,4,0.003058727835207809,320200,1.0,0.25,1.0,0.1,0.0,0.4500504964556035,0.0,1.0,0.0,0.0,0.15499999999999997,0.15499999999999997,1.0,0.0,0.018003871330559695,-0.15499999999999997,-0.13699612866944028,0.0,0.0,0.0,0.6931471824645996,0.00528307631611824,2.0,1.0,1.0
1000,deploy,0.2513168681932822,0.2513168681932822,0.286,0.25164133111274106,0.202,0.0,0.019999999999999997,0.019999999999999997,0.3675904138386516,0.17679695687296806,0.02000000000000001,1.0,0.15679695687296805,0.04107214135565789,1.0,0.1427230655636679,0.02019406776213552,0.04147068028360834,4,0.002883896333252887,360200,1.0,0.25,1.0,0.1,0.0,0.4135192515285727,0.0,1.0,0.0,0.0,0.14,0.14,1.0,0.0,0.017289118787158313,-0.14,-0.1227108812128417,0.0,0.0,0.0,0.6931471824645996,0.005781077779829502,2.0,1.0,1.0
1100,post,0.15126896278393276,0.15126896278393276,0.18,0.14720415316218083,0.09,0.007895992339278948,0.019999999999999997,0.019999999999999997,0.6441123510068769,0.31158029577616636,0.013333333333333197,0.3333333333333333,0.09052676525872225,0.024950858178393882,0.3333333333333333,0.08240120032275226,0.02015280772032377,0.035037678102676426,4,0.002806650507667521,380300,1.0,0.25,1.0,0.1,0.0,0.319336336328686,0.0,1.0,0.0,0.0,0.125,0.125,1.0,0.007294885054566188,0.018339760780887476,-0.11770511494543381,-0.10666023921911252,0.0,0.0,0.0,0.6931471824645996,0.006345415022224188,2.0,1.0,1.0
1200,post,0.13492238809836046,0.13492238809836046,0.16,0.13142438320413105,0.075,0.007150062042141966,0.019999999999999997,0.019999999999999997,0.6318522443072351,0.3152251131600049,0.013333333333333197,0.3333333333333333,0.09174170438666843,0.022907507061786923,0.3333333333333333,0.08240120032275226,0.02014935908066894,0.032189907197156406,5,0.0026697574315224116,420300,1.0,0.25,1.0,0.1,0.0,0.42168447390612385,0.0,1.0,0.0,0.0,0.11000000000000001,0.11000000000000001,1.0,0.006605741050554958,0.018319351472641448,-0.10339425894944505,-0.09168064852735856,0.0,0.0,0.0,0.6931471824645996,0.006915124133229256,2.0,1.0,1.0
1300,post,0.14207792658930257,0.14207792658930257,0.17666666666666667,0.1413047270099625,0.08333333333333333,0.00306975290944869,0.49625686117729284,0.49625686117729284,0.5269470423494321,0.7635677300893864,0.16541895372576457,0.3333333333333333,0.08910362297069756,0.005423306735486405,0.3333333333333333,0.08240120032275226,0.1850595938593216,0.007236853744392604,5,0.0025511207291926304,460300,1.0,0.25,1.0,0.1,0.0,0.5122362499056143,0.0,1.0,0.0,0.07810118539078652,0.095,0.095,1.0,0.0028360583012411165,0.45565623941611355,-0.09216394169875888,0.3606562394161136,0.0,0.0,0.0,0.6931471824645996,0.007552172522991896,2.0,1.0,1.0
1400,post,0.15494478052356728,0.15494478052356728,0.1975,0.15610550952811164,0.0925,0.0015340223378831272,0.496511733493296,0.496511733493296,0.6422188819355791,0.9074517787471058,0.11156804908568921,0.19900497512437812,0.06901936957045127,0.00039419288205376973,0.2,0.06382769531150415,0.20758263009418934,0.0017078114848101146,5,0.0024470128369122983,500300,1.7810118539078652,0.4452529634769663,1.0,0.1,1.0,0.1411674241287829,0.058832575871217124,1.0,0.0,0.18494476906280138,0.08,0.08,1.0,0.0014419838331375112,0.46445532010594176,-0.07855801616686249,0.38445532010594174,0.0,0.0,0.0,0.6931055784225464,0.008052032440900803,2.0,1.0,1.0
