phase,mrr,ap,hits@k,recall@k,ndcg@k,gCal_max,gTE_gap,gMin,gRisk,tau_avg,tau_min,tau_bands,delta_drift,delta_eff,utility_preservation
pre,0.1630515684143281,0.1630515684143281,0.174,0.0,0.15597840722899942,0.02,0.023470929938955047,0.002347092993895505,0.0,0.01534346067975707,0.00595508870417505,"{""0"": {""ci_high"": 0.09620279600337722, ""ci_low"": -0.04204494470490804, ""n_eff"": 402, ""tau"": 0.027078925649234593}, ""1"": {""ci_high"": 0.052485953179553554, ""ci_low"": -0.04526996175899446, ""n_eff"": 804, ""tau"": 0.003607995710279545}}",,,
deploy,0.2513168681932822,0.2513168681932822,0.286,0.0,0.25164133111274106,0.019999999999999997,0.0,0.0,0.0,0.02593952010993936,0.00595508870417505,"{""0"": {""ci_high"": 1.3859292911256331, ""ci_low"": -1.3859292911256331, ""n_eff"": 1, ""tau"": 0.0}, ""1"": {""ci_high"": 0.12369543504848737, ""ci_low"": -0.07181639482860866, ""n_eff"": 201, ""tau"": 0.02593952010993936}}",,,
post,0.18242563666699246,0.18242563666699246,0.232,0.0,0.18620483356574258,0.020784973577809764,0.0,0.0,0.0,0.27820137732533784,0.00595508870417505,"{""0"": {""ci_high"": 0.3346407811299867, ""ci_low"": 0.221761973520689, ""n_eff"": 603, ""tau"": 0.27820137732533784}, ""1"": {""ci_high"": 1.3859292911256331, ""ci_low"": -1.3859292911256331, ""n_eff"": 1, ""tau"": 0.0}}",,,
summary,,,,,,,,,,,,,0.023470929938955047,0.12375722798291185,1.118821722729052
