phase,mrr,ap,hits@k,recall@k,ndcg@k,gCal_max,gTE_gap,gMin,gRisk,tau_avg,tau_min,tau_bands,delta_drift,delta_eff,utility_preservation
pre,0.1630515684143281,0.1630515684143281,0.174,0.0,0.15597840722899942,0.02,0.02263447713282011,0.0022634477132820116,0.0,0.014798017534348111,0.005744226681220068,"{""0"": {""ci_high"": 0.0952391264549008, ""ci_low"": -0.04300861425338447, ""n_eff"": 402, ""tau"": 0.026115256100758166}, ""1"": {""ci_high"": 0.05235873643721206, ""ci_low"": -0.045397178501335955, ""n_eff"": 804, ""tau"": 0.0034807789679380564}}",,,
deploy,0.24345414096436985,0.24345414096436985,0.276,0.0,0.24311761209845528,0.019999999999999997,0.0,0.0,0.0,0.006314403588763199,0.005744226681220068,"{""0"": {""ci_high"": 1.3859292911256331, ""ci_low"": -1.3859292911256331, ""n_eff"": 1, ""tau"": 0.0}, ""1"": {""ci_high"": 0.10407031852731122, ""ci_low"": -0.09144151134978482, ""n_eff"": 201, ""tau"": 0.006314403588763199}}",,,
post,0.18733200360113092,0.18733200360113092,0.23,0.0,0.18940960248631064,0.0210361086422081,0.0,0.0,0.0,0.23663322258297925,0.005744226681220068,"{""0"": {""ci_high"": 0.2930726263876281, ""ci_low"": 0.1801938187783304, ""n_eff"": 603, ""tau"": 0.23663322258297925}, ""1"": {""ci_high"": 1.3859292911256331, ""ci_low"": -1.3859292911256331, ""n_eff"": 1, ""tau"": 0.0}}",,,
summary,,,,,,,,,,,,,0.02263447713282011,0.10351859375714151,1.1489126134935674
