phase,mrr,ap,hits@k,recall@k,ndcg@k,gCal_max,gTE_gap,gMin,gRisk,tau_avg,tau_min,tau_bands,delta_drift,delta_eff,utility_preservation
pre,0.1630515684143281,0.1630515684143281,0.174,0.0,0.15597840722899942,0.02,0.023470929938955047,0.002347092993895505,0.0,0.01534346067975707,0.00595508870417505,"{""0"": {""ci_high"": 0.09620279600337722, ""ci_low"": -0.04204494470490804, ""n_eff"": 402, ""tau"": 0.027078925649234593}, ""1"": {""ci_high"": 0.052485953179553554, ""ci_low"": -0.04526996175899446, ""n_eff"": 804, ""tau"": 0.003607995710279545}}",,,
deploy,0.24544414096436987,0.24544414096436987,0.278,0.0,0.24511761209845528,0.019999999999999997,0.0,0.0,0.0,0.006431354407789802,0.00595508870417505,"{""0"": {""ci_high"": 1.3859292911256331, ""ci_low"": -1.3859292911256331, ""n_eff"": 1, ""tau"": 0.0}, ""1"": {""ci_high"": 0.10418726934633782, ""ci_low"": -0.09132456053075821, ""n_eff"": 201, ""tau"": 0.006431354407789802}}",,,
post,0.1893220576831523,0.1893220576831523,0.23866666666666667,0.0,0.19314084111487606,0.02107975169454585,0.0,0.0,0.0,0.3316527261187192,0.00595508870417505,"{""0"": {""ci_high"": 0.38809212992336806, ""ci_low"": 0.27521332231407036, ""n_eff"": 603, ""tau"": 0.3316527261187192}, ""1"": {""ci_high"": 1.3859292911256331, ""ci_low"": -1.3859292911256331, ""n_eff"": 1, ""tau"": 0.0}}",,,
summary,,,,,,,,,,,,,0.023470929938955047,0.15048290237960255,1.1611176729197024
