step,phase,mrr,ap,hits@10,ndcg@10,deploy_hit@topk,gTE_gap,gCal_max,gCal_max_all,bound_gTE_gap,bound_gCal_max,eps_r0,pmin_gb,beta_r0,eps_r_delta,pmin_g,beta_r_delta,eps_r0_kernel,eps_r_delta_kernel,audit_n_active,audit_beta_t,audit_total_samples,audit_step_scale,audit_step_eff,cov_enabled,cov_eps,cov_pool_frac,cov_min_share_present,cov_max_deficit_present,pd_enabled,lambda_te,lambda_cal,rho_te,rho_cal,pd_cal_gate_open,pd_gte_soft,pd_gcal_soft,pd_v_te,pd_v_cal,pd_shift_abs_mean,pd_shift_abs_max,pd_shift_nonzero,last_loss,mem_norm_mean,n_groups_seen,w_pos_max,w_pos_min
100,pre,0.05079534737929114,0.05079534737929114,0.07,0.04538061274140282,0.02,0.0,0.020095179457752427,0.020095179457752427,0.47848055881050744,0.23415729407709474,0.01004758972887626,0.5,0.10703105730967111,0.01869969221082507,0.5,0.10092044749180179,0.020245459620305314,0.037302292719995085,2,0.024477468306808164,5000,1.0,0.25,1.0,0.1,0.0,0.5357663545663444,0.0,1.0,0.0,0.0,0.2,0.2,1.0,0.0,0.018152317701535973,-0.2,-0.18184768229846404,0.0,0.0,0.0,0.6931471824645996,0.0008140271529555321,2.0,1.0,1.0
200,pre,0.08435825076334862,0.08435825076334862,0.095,0.07593429742129673,0.055,0.0,0.019999999999999997,0.019999999999999997,0.32332651629847814,0.17136477284246887,0.02000000000000001,1.0,0.15136477284246885,0.018940192585571176,1.0,0.1427230655636679,0.020121659670627515,0.019055405465150235,3,0.017308183826022852,10000,1.0,0.25,1.0,0.1,0.0,0.5036143387731684,0.0,1.0,0.0,0.0,0.2,0.2,1.0,0.0,0.017370689525808884,-0.2,-0.18262931047419112,0.0,0.0,0.0,0.6931471824645996,0.0015120881143957376,2.0,1.0,1.0
300,pre,0.11858112590230428,0.11858112590230428,0.12666666666666668,0.11026549581657906,0.08333333333333333,0.0,0.02141051580063739,0.02141051580063739,0.3730048077016213,0.17277528864310623,0.021410515800637374,1.0,0.15136477284246885,0.04377933828714276,1.0,0.1427230655636679,0.021599957285151287,0.04415152966527747,3,0.014132072916016227,15000,1.0,0.25,1.0,0.1,0.0,0.5185778877503396,0.0,1.0,0.0,0.0,0.2,0.2,1.0,0.0,0.01859577112801488,-0.2,-0.18140422887198512,0.0,0.0,0.0,0.6924492120742798,0.0021100060548633337,2.0,1.0,1.0
400,pre,0.1517164854858169,0.1517164854858169,0.1625,0.1446012282503057,0.1175,0.3230830859276945,0.2611348733131049,0.2611348733131049,2.5944010687780787,1.38300141472699,0.20890789865048312,0.2,0.06769238429491488,0.19561241156630374,0.2,0.06382769531150415,0.22162392431504124,0.19465814067705148,4,0.012238734153404082,20000,1.0,0.25,1.0,0.1,0.0,0.4394167414690354,0.0,1.0,0.010813713552813672,0.0,0.2,0.2,0.0,0.3036986979673349,0.24457875428750367,0.10369869796733489,0.04457875428750366,0.0,0.0,0.0,0.6954757571220398,0.002653408097103238,2.0,1.0,1.0
500,pre,0.1630515684143281,0.1630515684143281,0.174,0.15597840722899942,0.13,0.023470929938955047,0.02,0.331658273935318,0.5116996663315684,0.23073926289029717,0.013333333333333123,0.3308457711442786,0.06300577603086967,0.027016830195798796,0.3333333333333333,0.05826644752612926,0.020940562153861756,0.03260070271121378,4,0.010946656610223947,25000,1.0,0.25,1.0,0.1,0.0,0.45120708372961527,0.0,1.0,0.0,0.0,0.2,0.2,1.0,0.022178658308427128,0.01881457321396455,-0.17782134169157288,-0.18118542678603547,0.0,0.0,0.0,0.6931471824645996,0.0032677261624485254,2.0,1.0,1.0
600,deploy,0.22493875898207333,0.22493875898207333,0.25,0.2225414237686116,0.18,0.0,0.019999999999999997,0.019999999999999997,0.33119260640986253,0.17136477284246887,0.02000000000000001,1.0,0.15136477284246885,0.022873237641263373,1.0,0.1427230655636679,0.020139987770563365,0.023033336318411726,4,0.009992884591137821,30000,1.0,0.25,1.0,0.1,0.0,0.4499654466026432,0.0,1.0,0.0,0.0,0.2,0.2,1.0,0.0,0.017370689525808884,-0.2,-0.18262931047419112,0.0,0.0,0.0,0.6931471824645996,0.003783423686400056,2.0,1.0,1.0
700,deploy,0.2641394116295935,0.2641394116295935,0.305,0.26628017536950077,0.21,0.0,0.022382117648837217,0.022382117648837217,0.22205088254998748,0.11148574061953448,0.022382117648836918,1.0,0.08910362297069756,0.02862424095224148,1.0,0.08240120032275226,0.02240683251394819,0.02881808619625919,4,0.00925161340918281,35000,1.0,0.25,1.0,0.1,0.0,0.31391600645836,0.0,1.0,0.0,0.0,0.18500000000000003,0.18500000000000003,1.0,0.0,0.02055095325804403,-0.18500000000000003,-0.16444904674195598,0.0,0.0,0.0,0.6954956650733948,0.004285677336156368,2.0,1.0,1.0
800,deploy,0.2775334489488009,0.2775334489488009,0.32,0.2802689715419422,0.21666666666666667,0.0,0.020238224785189007,0.020238224785189007,0.2278651401956263,0.13111041625947917,0.020238224785188805,1.0,0.11087219147429035,0.01301212260601135,1.0,0.10092044749180179,0.020399198936151292,0.013063673887682118,4,0.008654091913011426,40000,1.0,0.25,1.0,0.1,0.0,0.377230820549326,0.0,1.0,0.0,0.0,0.17000000000000004,0.17000000000000004,1.0,0.0,0.018218319749574354,-0.17000000000000004,-0.15178168025042568,0.0,0.0,0.0,0.692987859249115,0.004787689074873924,2.0,1.0,1.0
900,deploy,0.2554326789940022,0.2554326789940022,0.2925,0.25601039320342595,0.2,0.0,0.019999999999999997,0.019999999999999997,0.31547518417075804,0.13087219147429013,0.019999999999999796,1.0,0.11087219147429035,0.056817144593577236,1.0,0.10092044749180179,0.02018954852646866,0.057355809171781014,4,0.008159156102269388,45000,1.0,0.25,1.0,0.1,0.0,0.4500504964556035,0.0,1.0,0.0,0.0,0.15499999999999997,0.15499999999999997,1.0,0.0,0.018003871330559695,-0.15499999999999997,-0.13699612866944028,0.0,0.0,0.0,0.6931471824645996,0.00528307631611824,2.0,1.0,1.0
1000,deploy,0.24544414096436987,0.24544414096436987,0.278,0.24511761209845528,0.198,0.0,0.019999999999999997,0.019999999999999997,0.3857830056267425,0.17890129317067427,0.02000000000000001,1.0,0.15890129317067425,0.05016843724970334,1.0,0.1427230655636679,0.020178838714744927,0.0506170401916284,4,0.0077404551204098984,50000,1.0,0.25,1.0,0.1,0.0,0.37873206374358065,0.0,1.0,0.0,0.0,0.14,0.14,1.0,0.0,0.017257725155592304,-0.14,-0.12274227484440771,0.0,0.0,0.0,0.6931471824645996,0.005781077779829502,2.0,1.0,1.0
