step,mrr,ap,hits@10,last_loss,mem_norm_mean,n_groups_seen,w_pos_max,w_pos_min
200,0.0880961892507711,0.0880961892507711,0.075,0.6931471824645996,0.0015120881143957376,1.0,1.0,1.0
400,0.24243290639652035,0.24243290639652035,0.265,0.691867470741272,0.002653408097103238,1.0,1.0,1.0
600,0.24971281832372433,0.24971281832372433,0.265,0.6931471824645996,0.003783423686400056,1.0,1.0,1.0
800,0.2927891405456327,0.2927891405456327,0.32,0.6925628185272217,0.004787689074873924,1.0,1.0,1.0
1000,0.22654398853560903,0.22654398853560903,0.28,0.6931527256965637,0.005781077779829502,1.0,1.0,1.0
1200,0.12357154234939992,0.12357154234939992,0.145,0.6931471824645996,0.006915124133229256,1.0,1.0,1.0
1400,0.1769215425544293,0.1769215425544293,0.2,0.6931471824645996,0.008052032440900803,1.0,1.0,1.0
1600,0.2281442512381038,0.2281442512381038,0.265,0.6931471824645996,0.009109110571444035,1.0,1.0,1.0
1800,0.1783341536288853,0.1783341536288853,0.235,0.6931493282318115,0.010188470594584942,1.0,1.0,1.0
2000,0.14101158826422402,0.14101158826422402,0.17,0.6931471824645996,0.011215968988835812,1.0,1.0,1.0
2200,0.22234251851765424,0.22234251851765424,0.29,0.6920645833015442,0.012202576734125614,1.0,1.0,1.0
2400,0.16671588497498072,0.16671588497498072,0.185,0.692722499370575,0.013259855099022388,1.0,1.0,1.0
2600,0.21531446211360947,0.21531446211360947,0.255,0.6931471824645996,0.014273373410105705,1.0,1.0,1.0
2800,0.23690114445507224,0.23690114445507224,0.285,0.6925519108772278,0.01526426151394844,1.0,1.0,1.0
3000,0.18489237172953046,0.18489237172953046,0.23,0.6931471824645996,0.016222910955548286,1.0,1.0,1.0
3200,0.1565418355542131,0.1565418355542131,0.215,0.6931471824645996,0.017198508605360985,1.0,1.0,1.0
3400,0.2153481089027625,0.2153481089027625,0.26,0.6933801770210266,0.018148822709918022,1.0,1.0,1.0
3600,0.1539441379136522,0.1539441379136522,0.2,0.6945140361785889,0.01914922706782818,1.0,1.0,1.0
3800,0.20105113671706054,0.20105113671706054,0.255,0.6934635043144226,0.02011485956609249,1.0,1.0,1.0
4000,0.24876434252154053,0.24876434252154053,0.325,0.6931471824645996,0.020932355895638466,1.0,1.0,1.0
4200,0.19736259818121626,0.19736259818121626,0.27,0.6938985586166382,0.021809492260217667,1.0,1.0,1.0
4400,0.21850652112663763,0.21850652112663763,0.285,0.6935213804244995,0.02274377830326557,1.0,1.0,1.0
4600,0.1775235921829419,0.1775235921829419,0.22,0.6931471824645996,0.023775853216648102,1.0,1.0,1.0
4800,0.17423531647815613,0.17423531647815613,0.25,0.6938613057136536,0.02476910874247551,1.0,1.0,1.0
5000,0.14925821295146888,0.14925821295146888,0.235,0.6924625039100647,0.025785129517316818,1.0,1.0,1.0
5200,0.18352226624126303,0.18352226624126303,0.265,0.694053053855896,0.026700008660554886,1.0,1.0,1.0
5400,0.16340871732250167,0.16340871732250167,0.25,0.6943907141685486,0.02758844569325447,1.0,1.0,1.0
