phase,mrr,ap,hits@k,recall@k,ndcg@k,gCal_max,gTE_gap,gMin,gRisk,tau_avg,tau_min,tau_bands,delta_drift,delta_eff,utility_preservation
pre,0.1630515684143281,0.1630515684143281,0.174,0.0,0.15597840722899942,0.00010000000000000002,0.0046054648629052924,0.00046054648629052927,0.0,0.0023027324314526462,0.00046054648629052927,"{""0"": {""ci_high"": 0.010633409824880804, ""ci_low"": -0.0014224800990702193, ""n_eff"": 52862, ""tau"": 0.0046054648629052924}, ""1"": {""ci_high"": 0.006349929035608864, ""ci_low"": -0.006349929035608864, ""n_eff"": 47637, ""tau"": 0.0}}",,,
deploy,0.24345404649105856,0.24345404649105856,0.276,0.0,0.24311761209845528,0.0010000000000000002,0.0,0.00046054648629052927,0.0,0.0,0.00046054648629052927,"{""0"": {""ci_high"": 0.005982564838175068, ""ci_low"": -0.005982564838175068, ""n_eff"": 53667, ""tau"": 0.0}, ""1"": {""ci_high"": 0.0064042029203443375, ""ci_low"": -0.0064042029203443375, ""n_eff"": 46833, ""tau"": 0.0}}",,,
post,0.16746963733097175,0.16746963733097175,0.213,0.0,0.17037851876329654,0.0013189398696484167,0.2142264165061804,0.00046054648629052927,0.0,0.1071132082530902,0.00046054648629052927,"{""0"": {""ci_high"": 0.21870693444741537, ""ci_low"": 0.20974589856494544, ""n_eff"": 95681, ""tau"": 0.2142264165061804}, ""1"": {""ci_high"": 0.004291008411753039, ""ci_low"": -0.004291008411753039, ""n_eff"": 104319, ""tau"": 0.0}}",,,
summary,,,,,,,,,,,,,0.2096209516432751,0.10481047582163755,1.0270961448553315
