phase,mrr,ap,hits@k,recall@k,ndcg@k,gCal_max,gTE_gap,gMin,gRisk,tau_avg,tau_min,tau_bands,delta_drift,delta_eff,utility_preservation
pre,0.1630515684143281,0.1630515684143281,0.174,0.0,0.15597840722899942,0.48,0.0,0.0,0.0,0.0,0.0,"{""0"": {""ci_high"": 0.004371799170404345, ""ci_low"": -0.004371799170404345, ""n_eff"": 100499, ""tau"": 0.0}}",,,
deploy,0.24445486632406654,0.24445486632406654,0.278,0.0,0.2443794716055982,0.7299107670504714,0.0,0.0,0.0,0.03754961572720687,0.0,"{""0"": {""ci_high"": 0.04192139314731248, ""ci_low"": 0.03317783830710126, ""n_eff"": 100500, ""tau"": 0.03754961572720687}}",,,
post,0.16794885287301436,0.16794885287301436,0.213,0.0,0.1707718846798667,0.47961444668781505,0.0,0.0,0.0,0.0,0.0,"{""0"": {""ci_high"": 0.0030990321069650118, ""ci_low"": -0.0030990321069650118, ""n_eff"": 200000, ""tau"": 0.0}}",,,
summary,,,,,,,,,,,,,0.0003855533121849275,0.0,1.0300351876790406
