step,phase,mrr,ap,hits@10,ndcg@10,deploy_hit@topk,gTE_gap,gCal_max,bound_gTE_gap,bound_gCal_max,eps_r0,pmin_gb,beta_r0,eps_r_delta,pmin_g,beta_r_delta,eps_r0_kernel,eps_r_delta_kernel,audit_n_active,audit_beta_t,audit_total_samples,last_loss,mem_norm_mean,n_groups_seen,w_pos_max,w_pos_min
200,pre,0.08435825076334862,0.08435825076334862,0.095,0.07593429742129673,0.055,0.0,0.48,0.03934899305224848,0.020528913216428163,0.0019124261611329903,1.0,0.018616487055295172,0.0010580094708290677,1.0,0.018616487055295172,,,1,0.021459660262893473,5000,0.6931471824645996,0.0015120881143957376,1.0,1.0,1.0
400,pre,0.1517164854858169,0.1517164854858169,0.1625,0.1446012282503057,0.1175,0.0,0.48,0.03756307829591124,0.553843077933029,0.19948455778994015,0.4025,0.023437281078104066,0.00016505209266044708,1.0,0.018616487055295172,,,2,0.015174271293851465,10000,0.6954757571220398,0.002653408097103238,1.0,1.0,1.0
600,deploy,0.22493875898207333,0.22493875898207333,0.25,0.2225414237686116,0.18,0.0,0.48,0.038063128503277824,0.02122718777945843,0.0026107007241632585,1.0,0.018616487055295172,0.00041507719634374115,1.0,0.018616487055295172,,,2,0.012389740629499461,15000,0.6931471824645996,0.003783423686400056,1.0,1.0,1.0
800,deploy,0.2775334489488009,0.2775334489488009,0.32,0.2802689715419422,0.21666666666666667,0.0,0.729997852098694,0.03967148126836343,0.617050120835484,0.09966421802857502,0.1995,0.023437281078104066,0.0012192535788865442,1.0,0.018616487055295172,,,2,0.010729830131446736,20000,0.692987859249115,0.004787689074873924,1.0,1.0,1.0
1000,deploy,0.24445486632406654,0.24445486632406654,0.278,0.2443794716055982,0.196,0.0,0.7299107670504714,0.04405986943936956,0.7265679538688292,0.049946082262647684,0.101,0.023437281078104066,0.003413447664389608,1.0,0.018616487055295172,,,2,0.009597051824376163,25000,0.6931471824645996,0.005781077779829502,1.0,1.0,1.0
1200,post,0.11075465839343276,0.11075465839343276,0.135,0.10708978389330737,0.06,0.0,0.7298832392193044,0.040795290172919996,0.020762757433366204,0.0021462703780710307,1.0,0.018616487055295172,0.0017811580311648256,1.0,0.018616487055295172,,,2,0.008760869616261553,30000,0.6931471824645996,0.006915124133229256,1.0,1.0,1.0
1400,post,0.1526879878807216,0.1526879878807216,0.1925,0.15328033631312318,0.095,0.0,0.7298579982101705,0.03953700469966418,0.5562972750381711,0.19769088574956895,0.3975,0.023437281078104066,0.001152015294536919,1.0,0.018616487055295172,,,2,0.008110989182221586,35000,0.6931471824645996,0.008052032440900803,1.0,1.0,1.0
1600,post,0.17772433698114184,0.17772433698114184,0.225,0.18094812371308136,0.11666666666666667,0.0,0.7298364508447821,0.03987399164739066,0.5729598213247309,0.14959658496196468,0.302,0.023437281078104066,0.0013205087684001566,1.0,0.018616487055295172,,,2,0.007587135646925733,40000,0.6983610391616821,0.009109110571444035,1.0,1.0,1.0
1800,post,0.16659597588964103,0.16659597588964103,0.21,0.1688692628373758,0.1075,0.0,0.7298162486164848,0.03994638083090372,1.2125755745295437,0.345791981366142,0.3045,0.023437281078104066,0.0013567033601566856,1.0,0.018616487055295172,,,2,0.007153220087631158,45000,0.6932410001754761,0.010188470594584942,1.0,1.0,1.0
2000,post,0.16794885287301436,0.16794885287301436,0.213,0.1707718846798667,0.112,0.0,0.22979819807133037,0.037796560453312124,0.02105292439329113,0.002436437337995956,1.0,0.018616487055295172,0.000281793171360889,1.0,0.018616487055295172,,,2,0.006786140424415112,50000,0.6931471824645996,0.011215968988835812,1.0,1.0,1.0
