step,mrr,ap,hits@10,model
11400,0.08572421602926815,0.08572421602926815,0.16,edgebank
11600,0.07729855908477816,0.07729855908477816,0.205,edgebank
11800,0.06583665645005662,0.06583665645005662,0.125,edgebank
12000,0.04833179688930755,0.04833179688930755,0.11,edgebank
12200,0.0772703738962111,0.0772703738962111,0.145,edgebank
12400,0.08383658763634573,0.08383658763634573,0.155,edgebank
12600,0.08731459417438504,0.08731459417438504,0.155,edgebank
12800,0.08749078799052318,0.08749078799052318,0.135,edgebank
13000,0.08360152549572242,0.08360152549572242,0.185,edgebank
13200,0.08603518906515245,0.08603518906515245,0.15,edgebank
13400,0.07779595501771455,0.07779595501771455,0.16,edgebank
13600,0.08023734199755328,0.08023734199755328,0.165,edgebank
13800,0.07550572656369578,0.07550572656369578,0.185,edgebank
14000,0.09263082424823973,0.09263082424823973,0.19,edgebank
14200,0.08013979255663145,0.08013979255663145,0.135,edgebank
14400,0.09270000587563937,0.09270000587563937,0.185,edgebank
14600,0.08106007265201098,0.08106007265201098,0.17,edgebank
14800,0.0964680674986311,0.0964680674986311,0.195,edgebank
15000,0.08796008146619858,0.08796008146619858,0.215,edgebank
15200,0.09958382759732305,0.09958382759732305,0.205,edgebank
15400,0.06637395546497385,0.06637395546497385,0.165,edgebank
15600,0.06747895466982966,0.06747895466982966,0.15,edgebank
15800,0.08412897168214396,0.08412897168214396,0.19,edgebank
16000,0.08839282282151004,0.08839282282151004,0.18,edgebank
16200,0.09892649583388849,0.09892649583388849,0.21,edgebank
16400,0.06704712102573046,0.06704712102573046,0.135,edgebank
16600,0.07607644453139263,0.07607644453139263,0.175,edgebank
16800,0.08423641139087663,0.08423641139087663,0.155,edgebank
17000,0.10038477009585367,0.10038477009585367,0.23,edgebank
17200,0.09208298364139017,0.09208298364139017,0.19,edgebank
17400,0.10414134981433136,0.10414134981433136,0.235,edgebank
17600,0.07957277737936355,0.07957277737936355,0.185,edgebank
17800,0.09506043406247335,0.09506043406247335,0.19,edgebank
18000,0.08155012591204214,0.08155012591204214,0.165,edgebank
18200,0.08504733347719834,0.08504733347719834,0.175,edgebank
18400,0.07096521256101307,0.07096521256101307,0.19,edgebank
18600,0.08295198559954313,0.08295198559954313,0.185,edgebank
18800,0.08797460244851797,0.08797460244851797,0.215,edgebank
19000,0.08087518633430965,0.08087518633430965,0.205,edgebank
19200,0.09360997814119829,0.09360997814119829,0.205,edgebank
19400,0.09759880612571775,0.09759880612571775,0.235,edgebank
19600,0.09365470786925327,0.09365470786925327,0.2,edgebank
19800,0.07522352980716172,0.07522352980716172,0.15,edgebank
20000,0.09054733603830563,0.09054733603830563,0.165,edgebank
20200,0.08054113407176125,0.08054113407176125,0.165,edgebank
20400,0.09951579613650834,0.09951579613650834,0.245,edgebank
20600,0.06926840582173169,0.06926840582173169,0.16,edgebank
20800,0.07564349414776804,0.07564349414776804,0.155,edgebank
21000,0.09912090791049274,0.09912090791049274,0.235,edgebank
21200,0.08995635930568817,0.08995635930568817,0.225,edgebank
21400,0.11018267027948857,0.11018267027948857,0.235,edgebank
21600,0.0883018257017862,0.0883018257017862,0.22,edgebank
21800,0.09810123404554874,0.09810123404554874,0.27,edgebank
22000,0.13632091110267802,0.13632091110267802,0.26,edgebank
22200,0.10131414286486454,0.10131414286486454,0.29,edgebank
22400,0.11214575085693294,0.11214575085693294,0.23,edgebank
22600,0.0961042795818164,0.0961042795818164,0.22,edgebank
22800,0.11706575110906348,0.11706575110906348,0.24,edgebank
23000,0.10196269129231719,0.10196269129231719,0.245,edgebank
23200,0.12710863018932056,0.12710863018932056,0.275,edgebank
23400,0.11887075889577589,0.11887075889577589,0.28,edgebank
23600,0.08986531678185873,0.08986531678185873,0.225,edgebank
23800,0.1215712879128627,0.1215712879128627,0.25,edgebank
24000,0.12864157018413425,0.12864157018413425,0.285,edgebank
24200,0.11288728641948582,0.11288728641948582,0.21,edgebank
24400,0.11016184507166789,0.11016184507166789,0.24,edgebank
24600,0.11098931629239983,0.11098931629239983,0.215,edgebank
24800,0.12884279715386876,0.12884279715386876,0.305,edgebank
25000,0.11019313904590794,0.11019313904590794,0.265,edgebank
25200,0.12034544534033781,0.12034544534033781,0.23,edgebank
25400,0.11456682183745005,0.11456682183745005,0.2,edgebank
25600,0.08785728980336803,0.08785728980336803,0.225,edgebank
25800,0.11825116463095638,0.11825116463095638,0.26,edgebank
26000,0.14980112056821812,0.14980112056821812,0.295,edgebank
26200,0.10066973394420821,0.10066973394420821,0.275,edgebank
26400,0.10987035644413379,0.10987035644413379,0.23,edgebank
26600,0.10266086951423141,0.10266086951423141,0.195,edgebank
26800,0.09518781076668276,0.09518781076668276,0.23,edgebank
27000,0.09370787580539605,0.09370787580539605,0.24,edgebank
27200,0.15106750731192206,0.15106750731192206,0.305,edgebank
27400,0.10277484271385133,0.10277484271385133,0.22,edgebank
27600,0.11007381039371564,0.11007381039371564,0.22,edgebank
27800,0.11435953497837374,0.11435953497837374,0.255,edgebank
28000,0.08637433469274067,0.08637433469274067,0.205,edgebank
28200,0.13530452952974023,0.13530452952974023,0.21,edgebank
28400,0.12725698506074928,0.12725698506074928,0.24,edgebank
28600,0.09347209521795802,0.09347209521795802,0.245,edgebank
28800,0.14423802511079006,0.14423802511079006,0.275,edgebank
29000,0.12463834004538216,0.12463834004538216,0.235,edgebank
29200,0.09913016875145629,0.09913016875145629,0.265,edgebank
29400,0.11877028120338044,0.11877028120338044,0.24,edgebank
29600,0.16219993783274783,0.16219993783274783,0.29,edgebank
29800,0.13449078887262908,0.13449078887262908,0.255,edgebank
30000,0.12749375088785797,0.12749375088785797,0.255,edgebank
30200,0.13567021807598667,0.13567021807598667,0.265,edgebank
30400,0.10752093418640195,0.10752093418640195,0.265,edgebank
30600,0.15397501596890817,0.15397501596890817,0.305,edgebank
30800,0.1428773966161461,0.1428773966161461,0.315,edgebank
31000,0.14052787026128005,0.14052787026128005,0.3,edgebank
31200,0.14399308431042482,0.14399308431042482,0.295,edgebank
31400,0.1285781628669731,0.1285781628669731,0.275,edgebank
31600,0.12281547635649712,0.12281547635649712,0.29,edgebank
31800,0.12280935863446123,0.12280935863446123,0.27,edgebank
32000,0.13173606838621024,0.13173606838621024,0.24,edgebank
32200,0.11171841148222716,0.11171841148222716,0.275,edgebank
32400,0.16294353164616437,0.16294353164616437,0.315,edgebank
32600,0.09756245814712551,0.09756245814712551,0.24,edgebank
32800,0.13516405164685322,0.13516405164685322,0.26,edgebank
33000,0.10750719278191712,0.10750719278191712,0.23,edgebank
33200,0.12702386538352461,0.12702386538352461,0.295,edgebank
33400,0.11296878322192323,0.11296878322192323,0.255,edgebank
33600,0.11367734249924842,0.11367734249924842,0.24,edgebank
33800,0.11919250219646005,0.11919250219646005,0.295,edgebank
34000,0.13995114225925354,0.13995114225925354,0.305,edgebank
34200,0.10482865798411681,0.10482865798411681,0.22,edgebank
34400,0.1445748086231471,0.1445748086231471,0.32,edgebank
34600,0.17077433228265795,0.17077433228265795,0.375,edgebank
34800,0.11786087696949864,0.11786087696949864,0.29,edgebank
35000,0.159427706319326,0.159427706319326,0.345,edgebank
35200,0.14291351127596333,0.14291351127596333,0.3,edgebank
35400,0.12702809004010232,0.12702809004010232,0.31,edgebank
35600,0.19070670250173855,0.19070670250173855,0.36,edgebank
35800,0.16530386541255446,0.16530386541255446,0.32,edgebank
36000,0.14118133628755203,0.14118133628755203,0.31,edgebank
36200,0.12220728176246382,0.12220728176246382,0.335,edgebank
36400,0.13856277744638543,0.13856277744638543,0.32,edgebank
36600,0.12708092601239473,0.12708092601239473,0.305,edgebank
36800,0.14589002479048346,0.14589002479048346,0.325,edgebank
37000,0.11991627718412869,0.11991627718412869,0.32,edgebank
37200,0.1412868708285093,0.1412868708285093,0.35,edgebank
37400,0.15857061525682503,0.15857061525682503,0.375,edgebank
37600,0.1706157601059731,0.1706157601059731,0.41,edgebank
37800,0.11651352347686386,0.11651352347686386,0.29,edgebank
38000,0.1367443774376462,0.1367443774376462,0.33,edgebank
38200,0.08637873561745218,0.08637873561745218,0.21,edgebank
38400,0.08471201836486596,0.08471201836486596,0.205,edgebank
38600,0.15129916884474423,0.15129916884474423,0.375,edgebank
38800,0.14396948676554638,0.14396948676554638,0.32,edgebank
39000,0.1215268406902486,0.1215268406902486,0.3,edgebank
39200,0.12511282696637413,0.12511282696637413,0.29,edgebank
39400,0.11647239045550924,0.11647239045550924,0.295,edgebank
39600,0.1408935868360664,0.1408935868360664,0.315,edgebank
39800,0.11372783081289997,0.11372783081289997,0.295,edgebank
40000,0.12030806737393625,0.12030806737393625,0.305,edgebank
40200,0.10892893044943787,0.10892893044943787,0.305,edgebank
40400,0.11438477881065412,0.11438477881065412,0.215,edgebank
40600,0.17821371798370048,0.17821371798370048,0.325,edgebank
40800,0.14005371684778553,0.14005371684778553,0.345,edgebank
41000,0.15280746851833937,0.15280746851833937,0.375,edgebank
41200,0.18938133231235274,0.18938133231235274,0.4,edgebank
41400,0.18181741001472942,0.18181741001472942,0.405,edgebank
41600,0.14675585355150766,0.14675585355150766,0.32,edgebank
41800,0.20765889654703412,0.20765889654703412,0.405,edgebank
42000,0.1446771478136869,0.1446771478136869,0.375,edgebank
42200,0.1261687950075719,0.1261687950075719,0.31,edgebank
42400,0.16184219126055222,0.16184219126055222,0.395,edgebank
42600,0.16606599585137174,0.16606599585137174,0.38,edgebank
42800,0.12741597503487775,0.12741597503487775,0.285,edgebank
43000,0.14489658350251658,0.14489658350251658,0.31,edgebank
43200,0.12780546568278514,0.12780546568278514,0.295,edgebank
43400,0.12931660121794528,0.12931660121794528,0.3,edgebank
43600,0.141250514568784,0.141250514568784,0.315,edgebank
43800,0.12376480789222459,0.12376480789222459,0.29,edgebank
44000,0.11328550433542561,0.11328550433542561,0.315,edgebank
44200,0.11964379755384556,0.11964379755384556,0.215,edgebank
44400,0.15842065013076978,0.15842065013076978,0.325,edgebank
44600,0.14336762338859949,0.14336762338859949,0.36,edgebank
44800,0.1206556528486251,0.1206556528486251,0.34,edgebank
45000,0.13441219383084393,0.13441219383084393,0.385,edgebank
45200,0.18473818280949456,0.18473818280949456,0.425,edgebank
45400,0.07781109684341911,0.07781109684341911,0.205,edgebank
45600,0.1339198276987823,0.1339198276987823,0.33,edgebank
45800,0.12272645610149144,0.12272645610149144,0.335,edgebank
46000,0.11359696529363339,0.11359696529363339,0.3,edgebank
46200,0.1943674980313445,0.1943674980313445,0.405,edgebank
46400,0.11902198739481973,0.11902198739481973,0.345,edgebank
46600,0.10861136540484832,0.10861136540484832,0.25,edgebank
46800,0.17945900760051575,0.17945900760051575,0.4,edgebank
47000,0.14337352171184303,0.14337352171184303,0.305,edgebank
47200,0.1775735989292634,0.1775735989292634,0.405,edgebank
47400,0.1485186263172902,0.1485186263172902,0.31,edgebank
47600,0.1303637787196269,0.1303637787196269,0.295,edgebank
47800,0.1439467211415431,0.1439467211415431,0.365,edgebank
48000,0.13379539874847224,0.13379539874847224,0.295,edgebank
48200,0.17323613856212813,0.17323613856212813,0.355,edgebank
48400,0.11519248371116209,0.11519248371116209,0.29,edgebank
48600,0.1664908581747306,0.1664908581747306,0.385,edgebank
48800,0.14664632495298058,0.14664632495298058,0.315,edgebank
49000,0.16245648613565578,0.16245648613565578,0.4,edgebank
49200,0.14428491160593254,0.14428491160593254,0.32,edgebank
49400,0.13059864203004093,0.13059864203004093,0.285,edgebank
49600,0.1331032644790274,0.1331032644790274,0.3,edgebank
49800,0.1508914135429726,0.1508914135429726,0.32,edgebank
50000,0.12404197224834956,0.12404197224834956,0.27,edgebank
