step,mrr,ap,hits@10,model
200,0.029529877223301835,0.029529877223301835,0.015,edgebank
400,0.05188357701588214,0.05188357701588214,0.075,edgebank
600,0.06743669700774026,0.06743669700774026,0.095,edgebank
800,0.0659799105616146,0.0659799105616146,0.085,edgebank
1000,0.08621285896339544,0.08621285896339544,0.145,edgebank
1200,0.0478388311521782,0.0478388311521782,0.09,edgebank
1400,0.04107349840138386,0.04107349840138386,0.055,edgebank
1600,0.045567476082445074,0.045567476082445074,0.075,edgebank
1800,0.04000142575922951,0.04000142575922951,0.07,edgebank
2000,0.04523749539296232,0.04523749539296232,0.05,edgebank
2200,0.06402281844536013,0.06402281844536013,0.095,edgebank
2400,0.055137573687246685,0.055137573687246685,0.07,edgebank
2600,0.05608345545165581,0.05608345545165581,0.105,edgebank
2800,0.0754633295964239,0.0754633295964239,0.115,edgebank
3000,0.044191503087697315,0.044191503087697315,0.065,edgebank
3200,0.05475917082126655,0.05475917082126655,0.09,edgebank
3400,0.04293792925179484,0.04293792925179484,0.07,edgebank
3600,0.04955708155607042,0.04955708155607042,0.08,edgebank
3800,0.04991402977200074,0.04991402977200074,0.075,edgebank
4000,0.06583751967961476,0.06583751967961476,0.12,edgebank
4200,0.07403944770657564,0.07403944770657564,0.1,edgebank
4400,0.08732581358285907,0.08732581358285907,0.145,edgebank
4600,0.04736174156082304,0.04736174156082304,0.075,edgebank
4800,0.05550883249305322,0.05550883249305322,0.08,edgebank
5000,0.057751847314120905,0.057751847314120905,0.145,edgebank
5200,0.06310089163751549,0.06310089163751549,0.105,edgebank
5400,0.04818234554430522,0.04818234554430522,0.08,edgebank
5600,0.06757326356001996,0.06757326356001996,0.15,edgebank
5800,0.041489654905210706,0.041489654905210706,0.055,edgebank
6000,0.05996193106166002,0.05996193106166002,0.1,edgebank
6200,0.04362143392755716,0.04362143392755716,0.055,edgebank
6400,0.04433521869750906,0.04433521869750906,0.08,edgebank
6600,0.07723665879773331,0.07723665879773331,0.135,edgebank
6800,0.08207374594737875,0.08207374594737875,0.155,edgebank
7000,0.08109972866752915,0.08109972866752915,0.15,edgebank
7200,0.056394569792655676,0.056394569792655676,0.135,edgebank
7400,0.04891345154891821,0.04891345154891821,0.11,edgebank
7600,0.05166800957031834,0.05166800957031834,0.09,edgebank
7800,0.06954141406928799,0.06954141406928799,0.135,edgebank
8000,0.07918386327240806,0.07918386327240806,0.18,edgebank
8200,0.08810954244746032,0.08810954244746032,0.19,edgebank
8400,0.07615595199552161,0.07615595199552161,0.155,edgebank
8600,0.061802731835669276,0.061802731835669276,0.095,edgebank
8800,0.0681410982687705,0.0681410982687705,0.13,edgebank
9000,0.05853585974923421,0.05853585974923421,0.125,edgebank
9200,0.053638921248552324,0.053638921248552324,0.08,edgebank
9400,0.07210555011781843,0.07210555011781843,0.145,edgebank
9600,0.06271036907316216,0.06271036907316216,0.14,edgebank
9800,0.06712374755279252,0.06712374755279252,0.13,edgebank
10000,0.08331921473616363,0.08331921473616363,0.165,edgebank
10200,0.10656687619364806,0.10656687619364806,0.185,edgebank
10400,0.06462489121539167,0.06462489121539167,0.135,edgebank
10600,0.07048197480204943,0.07048197480204943,0.12,edgebank
10800,0.0666601389627444,0.0666601389627444,0.13,edgebank
11000,0.0762276788496495,0.0762276788496495,0.115,edgebank
11200,0.06702229474995297,0.06702229474995297,0.175,edgebank
